,code_bss,bss_id,date_mesure,niveau_nappe_eau,mode_obtention,nom_producteur
145,10906X0039/C2-1,BSS002MNYD,2000-09-06,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
146,10906X0039/C2-1,BSS002MNYD,2000-09-07,104.17,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
147,10906X0039/C2-1,BSS002MNYD,2000-09-08,104.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
148,10906X0039/C2-1,BSS002MNYD,2000-09-09,104.13,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
149,10906X0039/C2-1,BSS002MNYD,2000-09-10,104.1,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
150,10906X0039/C2-1,BSS002MNYD,2000-09-11,104.14,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
151,10906X0039/C2-1,BSS002MNYD,2000-09-12,104.15,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
152,10906X0039/C2-1,BSS002MNYD,2000-09-13,104.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
153,10906X0039/C2-1,BSS002MNYD,2000-09-14,104.25,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
154,10906X0039/C2-1,BSS002MNYD,2000-09-15,104.28,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
155,10906X0039/C2-1,BSS002MNYD,2000-09-16,104.22,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
156,10906X0039/C2-1,BSS002MNYD,2000-09-17,104.2,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
157,10906X0039/C2-1,BSS002MNYD,2000-09-18,104.18,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
158,10906X0039/C2-1,BSS002MNYD,2000-09-19,104.13,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
159,10906X0039/C2-1,BSS002MNYD,2000-09-20,104.11,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
160,10906X0039/C2-1,BSS002MNYD,2000-09-21,104.1,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
161,10906X0039/C2-1,BSS002MNYD,2000-09-22,104.11,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
162,10906X0039/C2-1,BSS002MNYD,2000-09-23,104.08,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
163,10906X0039/C2-1,BSS002MNYD,2000-09-24,104.06,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
164,10906X0039/C2-1,BSS002MNYD,2000-09-25,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
165,10906X0039/C2-1,BSS002MNYD,2000-09-26,104.04,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
166,10906X0039/C2-1,BSS002MNYD,2000-09-27,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
167,10906X0039/C2-1,BSS002MNYD,2000-09-28,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
168,10906X0039/C2-1,BSS002MNYD,2000-09-29,104.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
169,10906X0039/C2-1,BSS002MNYD,2000-09-30,104.07,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
170,10906X0039/C2-1,BSS002MNYD,2000-10-01,104.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
171,10906X0039/C2-1,BSS002MNYD,2000-10-02,104.07,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
172,10906X0039/C2-1,BSS002MNYD,2000-10-03,104.0,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
173,10906X0039/C2-1,BSS002MNYD,2000-10-04,103.97,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
174,10906X0039/C2-1,BSS002MNYD,2000-10-05,103.95,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
175,10906X0039/C2-1,BSS002MNYD,2000-10-06,103.93,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
176,10906X0039/C2-1,BSS002MNYD,2000-10-07,103.95,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
177,10906X0039/C2-1,BSS002MNYD,2000-10-08,103.95,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
178,10906X0039/C2-1,BSS002MNYD,2000-10-09,103.94,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
179,10906X0039/C2-1,BSS002MNYD,2000-10-10,103.93,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
180,10906X0039/C2-1,BSS002MNYD,2000-10-11,103.91,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
181,10906X0039/C2-1,BSS002MNYD,2000-10-12,103.88,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
182,10906X0039/C2-1,BSS002MNYD,2000-10-13,103.85,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
183,10906X0039/C2-1,BSS002MNYD,2000-10-14,103.83,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
184,10906X0039/C2-1,BSS002MNYD,2000-10-15,103.79,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
185,10906X0039/C2-1,BSS002MNYD,2000-10-16,103.76,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
186,10906X0039/C2-1,BSS002MNYD,2000-10-17,103.71,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
187,10906X0039/C2-1,BSS002MNYD,2000-10-18,103.67,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
188,10906X0039/C2-1,BSS002MNYD,2000-10-19,103.65,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
189,10906X0039/C2-1,BSS002MNYD,2000-10-20,103.62,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
190,10906X0039/C2-1,BSS002MNYD,2000-10-21,103.6,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
191,10906X0039/C2-1,BSS002MNYD,2000-10-22,103.56,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
192,10906X0039/C2-1,BSS002MNYD,2000-10-23,103.53,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
